State,Latitude,Longitude,Pollutant,Average,Pollutant Standard
California,34.030833,-117.61721999999999,PM2.5 - Local Conditions,15.536415,PM25 Annual 2012
California,34.030833,-117.61721999999999,PM2.5 - Local Conditions,15.380056,PM25 Annual 2012
California,34.510961,-117.32553999999999,PM2.5 - Local Conditions,7.0303119999999995,PM25 Annual 2012
California,34.510961,-117.32553999999999,PM2.5 - Local Conditions,7.574352,PM25 Annual 2012
California,34.10002,-117.49201000000001,PM2.5 - Local Conditions,10.861403999999999,PM25 Annual 2012
California,34.10002,-117.49201000000001,PM2.5 - Local Conditions,11.473913,PM25 Annual 2012
California,34.10002,-117.49201000000001,PM2.5 - Local Conditions,11.473913,PM25 Annual 2012
California,34.26464,-116.86147,PM2.5 - Local Conditions,5.756522,PM25 Annual 2012
California,34.106678,-117.27406299999998,PM2.5 - Local Conditions,10.984694000000001,PM25 Annual 2012
California,34.106678,-117.27406299999998,PM2.5 - Local Conditions,10.474227,PM25 Annual 2012
California,34.106678,-117.27406299999998,PM2.5 - Local Conditions,10.984694000000001,PM25 Annual 2012
California,32.631242,-117.05908799999999,PM2.5 - Local Conditions,8.202586,PM25 Annual 2012
California,32.845709,-117.12396399999999,PM2.5 - Local Conditions,6.983333,PM25 Annual 2012
California,32.845709,-117.12396399999999,PM2.5 - Local Conditions,6.485,PM25 Annual 2012
California,32.985442,-117.08218000000001,PM2.5 - Local Conditions,8.597142999999999,PM25 Annual 2012
California,32.789565,-116.944308,PM2.5 - Local Conditions,8.522089999999999,PM25 Annual 2012
California,33.362593,-117.09023,PM2.5 - Local Conditions,13.752975,PM25 Annual 2012
California,37.765946,-122.39904399999999,PM2.5 - Local Conditions,7.667408999999999,PM25 Annual 2012
California,37.950741,-121.268523,PM2.5 - Local Conditions,9.375872,PM25 Annual 2012
California,37.950741,-121.268523,PM2.5 - Local Conditions,9.058284,PM25 Annual 2012
California,37.793392,-121.247874,PM2.5 - Local Conditions,8.742754,PM25 Annual 2012
California,35.02083,-120.56388000000001,PM2.5 - Local Conditions,7.004432,PM25 Annual 2012
California,35.25651,-120.6693,PM2.5 - Local Conditions,5.285131,PM25 Annual 2012
California,35.04673,-120.58776999999999,PM2.5 - Local Conditions,6.077247,PM25 Annual 2012
California,35.49453,-120.66617,PM2.5 - Local Conditions,4.197214,PM25 Annual 2012
California,37.482934,-122.20336999999999,PM2.5 - Local Conditions,6.986047,PM25 Annual 2012
California,34.427775,-119.69121799999999,PM2.5 - Local Conditions,6.831065,PM25 Annual 2012
California,34.942871999999994,-120.43561100000001,PM2.5 - Local Conditions,4.816155999999999,PM25 Annual 2012
California,34.63782,-120.4575,PM2.5 - Local Conditions,4.619774,PM25 Annual 2012
California,34.44551,-119.8284,PM2.5 - Local Conditions,5.012465,PM25 Annual 2012
California,36.999571,-121.574684,PM2.5 - Local Conditions,5.821944,PM25 Annual 2012
California,37.348496999999995,-121.894898,PM2.5 - Local Conditions,7.876613000000001,PM25 Annual 2012
